a: A
strenuously: stren-u-ous-ly
strenuousness: stren-u-ous-ness
streptococcal: strep-to-coc-cal
streptococci: strep-to-coc-ci
streptococcic: strep-to-coc-cic
streptococcus: strep-to-coc-cus
stress: stress
stressful: stress-ful
stressfully: stress-ful-ly
stressless: stress-less
stresslessness: stress-less-ness
stressor: stres-sor
stretch: stretch
stretchability: stretch-a-bil-i-ty
stretchable: stretch-a-ble
stretcher: stretch-er
stretchier: stretch-i-er
stretchiest: stretch-i-est
stretchiness: stretch-i-ness
stretching: stretch-ing
stretchy: stretch-y
strew: stre
strewer: stre-er
strewing: stre-ing
stricken: strick-en
strickenly: strick-en-ly
strict: strict
stricter: strict-er
strictest: strict-est
strictness: strict-ness
strictly: strict-ly
stricture: stric-ture
strictured: stric-tured
stridden: strid-den
stride: stride
stridence: stri-dence
stridency: stri-den-cy
stridently: stri-dent-ly
strident: stri-dent
strider: strid-er
striding: strid-ing
stridingly: strid-ing-ly
strife: strife
strifeful: strife-ful
strifeless: strife-less
strike: strike
strikeless: strike-less
strikeout: strike-out
striker: strik-er
striking: strik-ing
strikingly: strik-ing-ly
strikingness: strik-ing-ness
string: string
stringed: stringed
stringencies: strin-gen-cies
stringency: strin-gen-cy
stringent: strin-gent
stringently: strin-gent-ly
stringer: string-er
stringier: string-i-er
stringiest: string-i-est
stringiness: string-i-ness
stringing: string-ing
stringless: string-less
stringlike: string-like
stringy: string-y
strip: strip
stripe: stripe
striped: striped
stripeless: stripe-less
striper: strip-er
stripiest: strip-i-est
stripier: strip-i-er
striping: strip-ing
stripling: strip-ling
stripped: stripped
stripper: strip-per
stripping: strip-ping
streamlined: stream-lined
striptease: strip-tease
stripteased: strip-teased
stripteasing: strip-teas-ing
stripy: strip-y
strive: strive
striver: striv-er
striven: striv-en
striving: striv-ing
strivingly: striv-ing-ly
strobe: strobe
strode: strode
stroke: stroke
stroking: strok-ing
stroll: stroll
stroller: stroll-er
strong: strong
strongarm: strong-arm
strongbox: strong-box
stronger: strong-er
strongest: strong-est
stronghold: strong-hold
strongish: strong-ish
strongly: strong-ly
strongness: strong-ness
strove: strove
struck: struck
structural: struc-tur-al
structurally: struc-tur-al-ly
structure: struc-ture
structured: struc-tured
structuring: struc-tur-ing
strudel: stru-del
struggle: strug-gle
struggler: strug-gler
struggled: strug-gled
struggling: strug-gling
strugglingly: strug-gling-ly
strum: strum
strummer: strum-mer
strumming: strum-ming
strumpet: strum-pet
strumpetlike: strum-pet-like
strums: strums
strung: strung
strut: strut
strutted: strut-ted
strutter: strut-ter
strutting: strut-ting
struttingly: strut-ting-ly
stub: stub
stubbed: stubbed
stubber: stub-ber
stubbedness: stubbed-ness
stubbier: stub-bi-er
stubbiest: stub-bi-est
stubbily: stub-bi-ly
stubbiness: stub-bi-ness
stubbing: stub-bing
stubble: stub-ble
stubbled: stub-bled
stubbly: stub-bly
stubborn: stub-born
stubbornly: stub-born-ly
stubbornness: stub-born-ness
stubby: stub-by
stucco: stuc-co
stuccoed: stuc-coed
stuccoing: stuc-co-ing
stuccoes: stuc-coes
stuck: stuck
stud: stud
stud's: stud's
studded: stud-ded
studding: stud-ding
student: stu-dent
studentless: stu-dent-less
studentlike: stu-dent-like
studiable: stud-i-a-ble
studied: stud-ied
studiedly: stud-ied-ly
studiedness: stud-ied-ness
studier: stud-i-er
studies: stud-ies
studio: stu-di-o
studios: stu-di-os
studious: stu-di-ous
studiously: stu-di-ous-ly
studiousness: stu-di-ous-ness
study: stud-y
studying: stud-y-ing
stuff: stuff
stuffer: stuff-er
stuffier: stuff-i-er
stuffiest: stuff-i-est
stuffily: stuff-i-ly
stuffing: stuff-ing
stuffless: stuff-less
stuffiness: stuff-i-ness
stuffy: stuff-y
stultification: stul-ti-fi-ca-tion
stultifier: stul-ti-fi-er
stultified: stul-ti-fied
stultify: stul-ti-fy
stultifying: stul-ti-fy-ing
stumble: stum-ble
stumbled: stum-bled
stumbler: stum-bler
stumbling: stum-bling
stumblingly: stum-bling-ly
stump: stump
stumper: stump-er
stumpier: stump-i-er
stumpiest: stump-i-est
stumpily: stump-i-ly
stumpiness: stump-i-ness
stumpless: stump-less
stumplike: stump-like
stumpy: stump-y
stun: stun
stung: stung
stunk: stunk
stunner: stun-ner
stunning: stun-ning
stunningly: stun-ning-ly
stunt: stunt
stunted: stunt-ed
stuntedness: stunt-ed-ness
stuntingly: stunt-ing-ly
stunty: stunt-y
stupefaction: stu-pe-fac-tion
stupefiedness: stu-pe-fied-ness
stupefied: stu-pe-fied
stupefier: stu-pe-fi-er
stupefy: stu-pe-fy
stupefying: stu-pe-fy-ing
stupefyingly: stu-pe-fy-ing-ly
stupendous: stu-pen-dous
stupendously: stu-pen-dous-ly
stupendousness: stu-pen-dous-ness
stupid: stu-pid
stupider: stu-pid-er
stupidest: stu-pid-est
stupidities: stu-pid-i-ties
stupidity: stu-pid-i-ty
stupidly: stu-pid-ly
stupidness: stu-pid-ness
stupor: stu-por
stuporous: stu-por-ous
sturdier: stur-di-er
sturdiest: stur-di-est
sturdily: stur-di-ly
sturdiness: stur-di-ness
sturdy: stur-dy
stutter: stut-ter
stutterer: stut-ter-er
stutteringly: stut-ter-ing-ly
sty: sty
stying: sty-ing
style: style
stylebook: style-book
stylebooks: style-books
styled: styled
styledom: style-dom
styleless: style-less
stylelessness: style-less-ness
stylelike: style-like
stylemark: style-mark
styler: styl-er
stylers: styl-ers
styles: styles
stylet: sty-let
stylets: sty-lets
stylewort: style-ort
styli: sty-li
styling: styl-ing
stylish: styl-ish
stylishly: styl-ish-ly
stylishness: styl-ish-ness
stylist: styl-ist
stylistic: sty-lis-tic
stylistically: sty-lis-ti-cal-ly
stylus: sty-lus
styluses: sty-lus-es
stymie: sty-mie
stymied: sty-mied
stymieing: sty-mie-ing
styptic: styp-tic
styptical: styp-ti-cal
stypticalness: styp-ti-cal-ness
stypticity: styp-tic-i-ty
suade: suade
suave: suave
suavely: suave-ly
suaveness: suave-ness
suaver: suav-er
suavest: suav-est
suavities: suav-i-ties
suavity: suav-i-ty
sub: sub
subabilities: sub-a-bil-i-ties
subability: sub-a-bil-i-ty
subabsolute: sub-ab-so-lute
subacademic: sub-ac-a-dem-ic
subacademical: sub-ac-a-dem-i-cal
subacademically: sub-ac-a-dem-i-cal-ly
subaccount: sub-ac-count
subacidulous: sub-a-cid-u-lous
subacrid: sub-ac-rid
subacridity: sub-a-crid-i-ty
subacridly: sub-ac-rid-ly
subacridness: sub-ac-rid-ness
subadditive: sub-ad-di-tive
subadditively: sub-ad-di-tive-ly
subadjacent: sub-ad-ja-cent
subadjacently: sub-ad-ja-cent-ly
subadministrate: sub-ad-min-is-trate
subadministrated: sub-ad-min-is-trat-ed
subadministrating: sub-ad-min-is-trat-ing
subadministration: sub-ad-min-is-tra-tion
subadministrative: sub-ad-min-is-tra-tive
subadministratively: sub-ad-min-is-tra-tive-ly
subadministrator: sub-ad-min-is-tra-tor
subadolescent: sub-ad-o-les-cent
subadult: sub-a-dult
subadultness: sub-a-dult-ness
subadvocate: sub-ad-vo-cate
subaerated: sub-aer-at-ed
subaerating: sub-aer-at-ing
subaeration: sub-aer-a-tion
subaffluence: sub-af-flu-ence
subaffluent: sub-af-flu-ent
subaffluently: sub-af-flu-ent-ly
subage: sub-age
subagencies: sub-a-gen-cies
subagency: sub-a-gen-cy
subaggregate: sub-ag-gre-gate
subaggregately: sub-ag-gre-gate-ly
subaggregation: sub-ag-gre-ga-tion
subalgebraic: sub-al-ge-bra-ic
subalgebraically: sub-al-ge-bra-i-cal-ly
subalgebraical: sub-al-ge-bra-i-cal
suballiance: sub-al-li-ance
suballocation: sub-al-lo-ca-tion
subanal: sub-a-nal
subangular: sub-an-gu-lar
subangularly: sub-an-gu-lar-ly
subangularness: sub-an-gu-lar-ness
subantiquely: sub-an-tique-ly
subantique: sub-an-tique
subantiqueness: sub-an-tique-ness
subantiquities: sub-an-tiq-ui-ties
subantiquity: sub-an-tiq-ui-ty
subapparent: sub-ap-par-ent
subapparently: sub-ap-par-ent-ly
subapparentness: sub-ap-par-ent-ness
subappearance: sub-ap-pear-ance
subaquatic: sub-a-quat-ic
subapprobation: sub-ap-pro-ba-tion
subarchitect: sub-ar-chi-tect
subarctic: sub-arc-tic
subarousal: sub-a-rous-al
subarticle: sub-ar-ti-cle
subarticulate: sub-ar-tic-u-late
subarticulately: sub-ar-tic-u-late-ly
subarticulateness: sub-ar-tic-u-late-ness
subarticulation: sub-ar-tic-u-la-tion
subarticulative: sub-ar-tic-u-la-tive
subassemblage: sub-as-sem-blage
subascending: sub-as-cend-ing
subassociation: sub-as-so-ci-a-tion
subassociational: sub-as-so-ci-a-tion-al
subassociative: sub-as-so-ci-a-tive
subassociatively: sub-as-so-ci-a-tive-ly
subastral: sub-as-tral
subatomic: sub-a-tom-ic
subattenuate: sub-at-ten-u-ate
subattenuated: sub-at-ten-u-at-ed
subattenuation: sub-at-ten-u-a-tion
subattorney: sub-at-tor-ney
subattorneys: sub-at-tor-neys
subattorneyship: sub-at-tor-ney-ship
subaudibility: sub-au-di-bil-i-ty
subaudible: sub-au-di-ble
subaudibleness: sub-au-di-ble-ness
subaudibly: sub-au-di-bly
subauditor: sub-au-di-tor
subautomatic: sub-au-to-mat-ic
subautomatically: sub-au-to-mat-i-cal-ly
subaverage: sub-av-er-age
stylistical: sty-lis-ti-cal
subaveragely: sub-av-er-age-ly
subaxial: sub-ax-i-al
subaxially: sub-ax-i-al-ly
subbailiff: sub-bail-iff
subballast: sub-bal-last
subbasin: sub-ba-sin
subbeadle: sub-bea-dle
subbias: sub-bi-as
subbing: sub-bing
subblock: sub-block
subbreed: sub-breed
subbrigade: sub-bri-gade
subbroker: sub-bro-ker
subbronchial: sub-bron-chi-al
subbureau: sub-bu-reau
subbureaus: sub-bu-reaus
subbureaux: sub-bu-reaux
subcandid: sub-can-did
subcandidly: sub-can-did-ly
subcandidness: sub-can-did-ness
subcaptain: sub-cap-tain
subcaption: sub-cap-tion
subbronchially: sub-bron-chi-al-ly
subcardinal: sub-car-di-nal
subcardinally: sub-car-di-nal-ly
subcasino: sub-ca-si-no
subcasinos: sub-ca-si-nos
subcast: sub-cast
subcaste: sub-caste
subcategorization: sub-cat-e-go-ri-za-tion
subcause: sub-cause
subcavities: sub-cav-i-ties
subcavity: sub-cav-i-ty
subceiling: sub-ceil-ing
subcharter: sub-char-ter
subcerebral: sub-cer-e-bral
subchief: sub-chief
subchronic: sub-chron-ic
subchronically: sub-chron-i-cal-ly
subcircuit: sub-cir-cuit
subcircular: sub-cir-cu-lar
subcircularity: sub-cir-cu-lar-i-ty
subcities: sub-cit-ies
subcity: sub-cit-y
subcivilization: sub-civ-i-li-za-tion
subchronical: sub-chron-i-cal
subcircularly: sub-cir-cu-lar-ly
subclan: sub-clan
subclausal: sub-claus-al
subclause: sub-clause
subclerk: sub-clerk
subclerkship: sub-clerk-ship
subclimate: sub-cli-mate
subclique: sub-clique
subcluster: sub-clus-ter
subcode: sub-code
subcollection: sub-col-lec-tion
subcollector: sub-col-lec-tor
subcollectorship: sub-col-lec-tor-ship
subcollege: sub-col-lege
subcollegiate: sub-col-le-giate
subcolonies: sub-col-o-nies
subcolony: sub-col-o-ny
subcommandership: sub-com-mand-er-ship
subcommendation: sub-com-men-da-tion
subcommended: sub-com-mend-ed
subcommission: sub-com-mis-sion
subcommissioner: sub-com-mis-sion-er
subcommissionership: sub-com-mis-sion-er-ship
subcommittee: sub-com-mit-tee
subcompact: sub-com-pact
subcompensate: sub-com-pen-sate
subcompensating: sub-com-pen-sat-ing
subcompensation: sub-com-pen-sa-tion
subcompensative: sub-com-pen-sa-tive
subcompensational: sub-com-pen-sa-tion-al
subcompensatory: sub-com-pen-sa-to-ry
subcomplete: sub-com-plete
subcommander: sub-com-mand-er
subcompleteness: sub-com-plete-ness
subcompletely: sub-com-plete-ly
subcompletion: sub-com-ple-tion
subcomponent: sub-com-po-nent
subcompressed: sub-com-pressed
subconcave: sub-con-cave
subconcavely: sub-con-cave-ly
subconcaveness: sub-con-cave-ness
subconcealed: sub-con-cealed
subconcession: sub-con-ces-sion
subconference: sub-con-fer-ence
subconferential: sub-con-fer-en-tial
subconic: sub-con-ic
subconical: sub-con-i-cal
subconically: sub-con-i-cal-ly
subconjunctive: sub-con-junc-tive
subconjunctively: sub-con-junc-tive-ly
subcompensated: sub-com-pen-sat-ed
subconnect: sub-con-nect
subconnectedly: sub-con-nect-ed-ly
subconscience: sub-con-science
subconscious: sub-con-scious
subconsciously: sub-con-scious-ly
subconsciousness: sub-con-scious-ness
subconservator: sub-con-ser-va-tor
subconstellation: sub-con-stel-la-tion
subconsideration: sub-con-sid-er-a-tion
subconsul: sub-con-sul
subconsular: sub-con-su-lar
subconsulship: sub-con-sul-ship
subcontained: sub-con-tained
subcontest: sub-con-test
subcontinent: sub-con-ti-nent
subcontinental: sub-con-ti-nen-tal
subcontract: sub-con-tract
subcontractor: sub-con-trac-tor
subcontrol: sub-con-trol
subcontrolled: sub-con-trolled
subcontrolling: sub-con-trol-ling
subconvex: sub-con-vex
subconvolute: sub-con-vo-lute
subconvolutely: sub-con-vo-lute-ly
subcool: sub-cool
subcortex: sub-cor-tex
subcorporation: sub-cor-po-ra-tion
subcortices: sub-cor-ti-ces
subcouncil: sub-coun-cil
subcreative: sub-cre-a-tive
subcreatively: sub-cre-a-tive-ly
subcreativeness: sub-cre-a-tive-ness
subcreek: sub-creek
subcrescentic: sub-cres-cen-tic
subcriminal: sub-crim-i-nal
subcrest: sub-crest
subcriminally: sub-crim-i-nal-ly
subcrossing: sub-cross-ing
subcubic: sub-cu-bic
subcubical: sub-cu-bi-cal
subcultural: sub-cul-tur-al
subculturally: sub-cul-tur-al-ly
subculture: sub-cul-ture
subcultured: sub-cul-tured
subculturing: sub-cul-tur-ing
subcurative: sub-cur-a-tive
subcurator: sub-cu-ra-tor
subcuratorial: sub-cu-ra-to-ri-al
subcuratorship: sub-cu-ra-tor-ship
subcuticular: sub-cu-tic-u-lar
subdealer: sub-deal-er
subdecision: sub-de-ci-sion
subdeducible: sub-de-duc-i-ble
subdefinition: sub-def-i-ni-tion
subdelegate: sub-del-e-gate
subdelegated: sub-del-e-gat-ed
subdelegating: sub-del-e-gat-ing
subdeltoid: sub-del-toid
subdemonstrate: sub-dem-on-strate
subdemonstrated: sub-dem-on-strat-ed
subdemonstrating: sub-dem-on-strat-ing
subdemonstration: sub-dem-on-stra-tion
subdepartment: sub-de-part-ment
subdepartmental: sub-de-part-men-tal
subdeposit: sub-de-pos-it
subdepositories: sub-de-pos-i-to-ries
subdepository: sub-de-pos-i-to-ry
subdepot: sub-de-pot
subdepressed: sub-de-pressed
subdeputies: sub-dep-u-ties
subdeputy: sub-dep-u-ty
subdelegation: sub-del-e-ga-tion
subdevelopment: sub-de-vel-op-ment
subdevil: sub-dev-il
subdialect: sub-di-a-lect
subdilated: sub-di-lat-ed
subdirector: sub-di-rec-tor
subdirectorship: sub-di-rec-tor-ship
subdiscipline: sub-dis-ci-pline
subdistinction: sub-dis-tinc-tion
subdistinctive: sub-dis-tinc-tive
subdistinctively: sub-dis-tinc-tive-ly
subdistinctiveness: sub-dis-tinc-tive-ness
subdividable: sub-di-vid-a-ble
subdivide: sub-di-vide
subdivided: sub-di-vid-ed
subdivider: sub-di-vid-er
subdividing: sub-di-vid-ing
subdivine: sub-di-vine
subdivinely: sub-di-vine-ly
subdivineness: sub-di-vine-ness
subdivision: sub-di-vi-sion
subdoctor: sub-doc-tor
subduableness: sub-du-a-ble-ness
subduable: sub-du-a-ble
subduably: sub-du-a-bly
subdue: sub-due
subdued: sub-dued
subduing: sub-du-ing
subduingly: sub-du-ing-ly
subecho: sub-ech-o
subeconomic: sub-ec-o-nom-ic
subechoes: sub-ech-oes
subeconomies: sub-e-con-o-mies
subeconomy: sub-e-con-o-my
subeffective: sub-ef-fec-tive
subeffectively: sub-ef-fec-tive-ly
subeffectiveness: sub-ef-fec-tive-ness
subelection: sub-e-lec-tion
subelemental: sub-el-e-men-tal
subelement: sub-el-e-ment
subelementally: sub-el-e-men-tal-ly
subelliptic: sub-el-lip-tic
subelliptical: sub-el-lip-ti-cal
subelongate: sub-e-lon-gate
subelongated: sub-e-lon-gat-ed
subendorse: sub-en-dorse
subendorsed: sub-en-dorsed
subendorsement: sub-en-dorse-ment
subendorsing: sub-en-dors-ing
subengineer: sub-en-gi-neer
subentire: sub-en-tire
subentitle: sub-en-ti-tle
subentitled: sub-en-ti-tled
subentitling: sub-en-ti-tling
subentry: sub-en-try
subentries: sub-en-tries
subepoch: sub-ep-och
subequal: sub-e-qual
subequalities: sub-e-qual-i-ties
subequality: sub-e-qual-i-ty
subequally: sub-e-qual-ly
subequilateral: sub-e-qui-lat-er-al
suberect: sub-e-rect
suberectly: sub-e-rect-ly
suberectness: sub-e-rect-ness
subessential: sub-es-sen-tial
subessentially: sub-es-sen-tial-ly
subessentialness: sub-es-sen-tial-ness
subevergreen: sub-ev-er-green
subexaminer: sub-ex-am-in-er
subexecutor: sub-ex-ec-u-tor
subexternal: sub-ex-ter-nal
subexternally: sub-ex-ter-nal-ly
subfactor: sub-fac-tor
subface: sub-face
subfactories: sub-fac-to-ries
subfactory: sub-fac-to-ry
subfalcate: sub-fal-cate
subfascial: sub-fas-ci-al
subfestive: sub-fes-tive
subfestively: sub-fes-tive-ly
subfestiveness: sub-fes-tive-ness
subfibrous: sub-fi-brous
subfigure: sub-fig-ure
subfissure: sub-fis-sure
subflora: sub-flo-ra
subformation: sub-for-ma-tion
subformative: sub-form-a-tive
subform: sub-form
subformatively: sub-form-a-tive-ly
subformativeness: sub-form-a-tive-ness
subfossil: sub-fos-sil
subfraction: sub-frac-tion
subfractional: sub-frac-tion-al
subfractionally: sub-frac-tion-al-ly
subfractionary: sub-frac-tion-ar-y
subframe: sub-frame
subfreezing: sub-freez-ing
subfrontally: sub-fron-tal-ly
subfrontal: sub-fron-tal
subfumigation: sub-fu-mi-ga-tion
subfunction: sub-func-tion
subfunctional: sub-func-tion-al
subfunctionally: sub-func-tion-al-ly
subgape: sub-gape
subgaped: sub-gaped
subgaping: sub-gap-ing
subgelatinous: sub-ge-lat-i-nous
subgelatinousness: sub-ge-lat-i-nous-ness
subgelatinously: sub-ge-lat-i-nous-ly
subgeneration: sub-gen-er-a-tion
subgenital: sub-gen-i-tal
subgeometric: sub-ge-o-met-ric
subgeometrical: sub-ge-o-met-ri-cal
subgeometrically: sub-ge-o-met-ri-cal-ly
subgerminal: sub-ger-mi-nal
subgerminally: sub-ger-mi-nal-ly
subglobular: sub-glob-u-lar
subglobularity: sub-glob-u-lar-i-ty
subglobularly: sub-glob-u-lar-ly
subgoal: sub-goal
subgod: sub-god
subgoverness: sub-gov-ern-ess
subgovernment: sub-gov-ern-ment
subgovernor: sub-gov-er-nor
subgranular: sub-gran-u-lar
subgranularly: sub-gran-u-lar-ly
subgranularity: sub-gran-u-lar-i-ty
subgroup: sub-group
subhall: sub-hall
subhatcheries: sub-hatch-er-ies
subhatchery: sub-hatch-er-y
subhead: sub-head
subheading: sub-head-ing
subheadquarters: sub-head-quar-ters
subheadwaiter: sub-head-ait-er
subhealth: sub-health
subhemispheric: sub-hem-i-spher-ic
subhemispherical: sub-hem-i-spher-i-cal
subhemispherically: sub-hem-i-spher-i-cal-ly
subhepatic: sub-he-pat-ic
subhero: sub-he-ro
subheroes: sub-he-roes
subhirsute: sub-hir-sute
subhirsuteness: sub-hir-sute-ness
subhooked: sub-hooked
subhorizontal: sub-hor-i-zon-tal
subhorizontalness: sub-hor-i-zon-tal-ness
subhorizontally: sub-hor-i-zon-tal-ly
subhouse: sub-house
subhumid: sub-hu-mid
subhypotheses: sub-hy-poth-e-ses
subhypothesis: sub-hy-poth-e-sis
subhysteria: sub-hys-te-ri-a
subidea: sub-i-de-a
subideal: sub-i-de-al
subimposed: sub-im-posed
subincomplete: sub-in-com-plete
subindustries: sub-in-dus-tries
subindustry: sub-in-dus-try
subinfection: sub-in-fec-tion
subinfer: sub-in-fer
subinferior: sub-in-fe-ri-or
subinferred: sub-in-ferred
subinferring: sub-in-fer-ring
subinflammation: sub-in-flam-ma-tion
subinflammatory: sub-in-flam-ma-to-ry
subinhibitory: sub-in-hib-i-to-ry
subinitial: sub-in-i-tial
subinsert: sub-in-sert
subinsertion: sub-in-ser-tion
subinspector: sub-in-spec-tor
subinspectorship: sub-in-spec-tor-ship
subintention: sub-in-ten-tion
subintentional: sub-in-ten-tion-al
subintentionally: sub-in-ten-tion-al-ly
subintercessor: sub-in-ter-ces-sor
subinternal: sub-in-ter-nal
subinternally: sub-in-ter-nal-ly
subintroduce: sub-in-tro-duce
subintroduced: sub-in-tro-duced
subintroducing: sub-in-tro-duc-ing
subintroduction: sub-in-tro-duc-tion
subintroductive: sub-in-tro-duc-tive
subintroductory: sub-in-tro-duc-to-ry
subiodide: sub-i-o-dide
subitem: sub-i-tem
subject: sub-ject
subjectability: sub-ject-a-bil-i-ty
subjectable: sub-ject-a-ble
subjectedly: sub-ject-ed-ly
subjectedness: sub-ject-ed-ness
subjection: sub-jec-tion
subjectional: sub-jec-tion-al
subjective: sub-jec-tive
subjectively: sub-jec-tive-ly
subjectiveness: sub-jec-tive-ness
subjectivities: sub-jec-tiv-i-ties
subjectivity: sub-jec-tiv-i-ty
subjectless: sub-ject-less
subjectlike: sub-ject-like
subjoint: sub-joint
subjudge: sub-judge
subjudgeship: sub-judge-ship
subjudicial: sub-ju-di-cial
subjudicially: sub-ju-di-cial-ly
subjudiciaries: sub-ju-di-ci-ar-ies
subjudiciary: sub-ju-di-ci-ar-y
subjugable: sub-ju-ga-ble
subjugate: sub-ju-gate
subjugated: sub-ju-gat-ed
subjugating: sub-ju-gat-ing
subjugation: sub-ju-ga-tion
subjugator: sub-ju-ga-tor
subjugular: sub-jug-u-lar
subjunctive: sub-junc-tive
subjunctively: sub-junc-tive-ly
subjunior: sub-jun-ior
subking: sub-king
sublabial: sub-la-bi-al
sublabially: sub-la-bi-al-ly
subleader: sub-lead-er
sublease: sub-lease
subleased: sub-leased
subleasing: sub-leas-ing
sublecturer: sub-lec-tur-er
sublegislation: sub-leg-is-la-tion
sublegislature: sub-leg-is-la-ture
sublessee: sub-les-see
sublessor: sub-les-sor
sublet: sub-let
subletting: sub-let-ting
sublibrarian: sub-li-brar-i-an
sublid: sub-lid
sublimable: sub-li-ma-ble
sublimableness: sub-li-ma-ble-ness
sublimate: sub-li-mate
sublimated: sub-li-mat-ed
sublimating: sub-li-mat-ing
sublimation: sub-li-ma-tion
sublimational: sub-li-ma-tion-al
sublime: sub-lime
sublimed: sub-limed
sublimely: sub-lime-ly
sublimeness: sub-lime-ness
sublimer: sub-lim-er
subliminal: sub-lim-i-nal
subliminally: sub-lim-i-nal-ly
subliming: sub-lim-ing
sublinear: sub-lin-e-ar
sublot: sub-lot
sublumbar: sub-lum-bar
sublustrous: sub-lus-trous
sublustrously: sub-lus-trous-ly
sublustrousness: sub-lus-trous-ness
submaid: sub-maid
submanager: sub-man-ag-er
submanagership: sub-man-ag-er-ship
submania: sub-ma-ni-a
submanic: sub-man-ic
submanor: sub-man-or
submarined: sub-ma-rined
submarine: sub-ma-rine
submarining: sub-ma-rin-ing
submarket: sub-mar-ket
submarshal: sub-mar-shal
submaster: sub-mas-ter
submaximal: sub-max-i-mal
submedial: sub-me-di-al
submedially: sub-me-di-al-ly
submedian: sub-me-di-an
submediation: sub-me-di-a-tion
submediocre: sub-me-di-o-cre
submember: sub-mem-ber
submeningeal: sub-me-nin-ge-al
submerge: sub-merge
submerged: sub-merged
submergence: sub-mer-gence
submerging: sub-merg-ing
submerse: sub-merse
submersed: sub-mersed
submersibility: sub-mers-i-bil-i-ty
submersible: sub-mers-i-ble
submersing: sub-mers-ing
submersion: sub-mer-sion
submetaphoric: sub-met-a-phor-ic
submetaphorical: sub-met-a-phor-i-cal
submetaphorically: sub-met-a-phor-i-cal-ly
submind: sub-mind
subminimal: sub-min-i-mal
subminister: sub-min-is-ter
submissible: sub-mis-si-ble
submission: sub-mis-sion
submissive: sub-mis-sive
submissively: sub-mis-sive-ly
submissiveness: sub-mis-sive-ness
submit: sub-mit
submittable: sub-mit-ta-ble
submittal: sub-mit-tal
submitted: sub-mit-ted
submitter: sub-mit-ter
submittingly: sub-mit-ting-ly
submitting: sub-mit-ting
submolecular: sub-mo-lec-u-lar
submolecule: sub-mol-e-cule
submortgage: sub-mort-gage
submountain: sub-moun-tain
submucous: sub-mu-cous
submundane: sub-mun-dane
submuscular: sub-mus-cu-lar
submuscularly: sub-mus-cu-lar-ly
subnacreous: sub-na-cre-ous
subnarcotic: sub-nar-cot-ic
subnational: sub-na-tion-al
subnatural: sub-nat-u-ral
subnaturally: sub-nat-u-ral-ly
subnaturalness: sub-nat-u-ral-ness
subnetwork: sub-net-ork
subneural: sub-neu-ral
subnodulose: sub-nod-u-lose
subnodulous: sub-nod-u-lous
subnormal: sub-nor-mal
subnormality: sub-nor-mal-i-ty
subnotation: sub-no-ta-tion
subnotational: sub-no-ta-tion-al
subnote: sub-note
subnuclei: sub-nu-cle-i
subnucleus: sub-nu-cle-us
subnucleuses: sub-nu-cle-us-es
subnude: sub-nude
subnumber: sub-num-ber
subnutritious: sub-nu-tri-tious
subnutritiously: sub-nu-tri-tious-ly
subnutritiousness: sub-nu-tri-tious-ness
suboblique: sub-o-blique
subobliqueness: sub-o-blique-ness
subobliquely: sub-o-blique-ly
subobscure: sub-ob-scure
subobscurely: sub-ob-scure-ly
subobscureness: sub-ob-scure-ness
subobsolete: sub-ob-so-lete
subobsoletely: sub-ob-so-lete-ly
subobsoleteness: sub-ob-so-lete-ness
subobtuse: sub-ob-tuse
subobtusely: sub-ob-tuse-ly
subobtuseness: sub-ob-tuse-ness
subocular: sub-oc-u-lar
subocularly: sub-oc-u-lar-ly
suboffice: sub-of-fice
subofficer: sub-of-fi-cer
subofficial: sub-of-fi-cial
subofficially: sub-of-fi-cial-ly
subolive: sub-ol-ive
subopaque: sub-o-paque
subopaquely: sub-o-paque-ly
subopaqueness: sub-o-paque-ness
subopposite: sub-op-po-site
suboppositely: sub-op-po-site-ly
suboppositeness: sub-op-po-site-ness
suboptic: sub-op-tic
suboptical: sub-op-ti-cal
suboptically: sub-op-ti-cal-ly
suboral: sub-o-ral
subordinacy: sub-or-di-na-cy
subordinate: sub-or-di-nate
subordinated: sub-or-di-nat-ed
subordinately: sub-or-di-nate-ly
subordinateness: sub-or-di-nate-ness
subordinating: sub-or-di-nat-ing
subordination: sub-or-di-na-tion
subordinative: sub-or-di-na-tive
suborganic: sub-or-gan-ic
suborganically: sub-or-gan-i-cal-ly
suborganization: sub-or-gan-i-za-tion
suborn: sub-orn
subornation: sub-or-na-tion
subornative: sub-or-na-tive
suborner: sub-orn-er
subovarian: sub-o-var-i-an
subovate: sub-o-vate
suboverseer: sub-o-ver-se-er
subpackage: sub-pack-age
subpalmate: sub-pal-mate
subpalmated: sub-pal-mat-ed
subpanel: sub-pan-el
subparagraph: sub-par-a-graph
subparallel: sub-par-al-lel
subparalytic: sub-par-a-lyt-ic
subparietal: sub-pa-ri-e-tal
subparliament: sub-par-lia-ment
subpart: sub-part
subparties: sub-par-ties
subpartition: sub-par-ti-tion
subpartitioned: sub-par-ti-tioned
subpartitionment: sub-par-ti-tion-ment
subparty: sub-par-ty
subpass: sub-pass
subpastor: sub-pas-tor
subpatellar: sub-pa-tel-lar
subpatronal: sub-pa-tron-al
subpatroness: sub-pa-tron-ess
subpattern: sub-pat-tern
subpavement: sub-pave-ment
subpectoral: sub-pec-to-ral
subpellucid: sub-pel-lu-cid
subpellucidity: sub-pel-lu-cid-i-ty
